id_event,datetime,country_code,event_code,day,month,year
1025931626,2022-01-31,HU,40,31,1,2022
1025931627,2022-01-31,US,43,31,1,2022
1025931628,2022-01-31,HU,46,31,1,2022
1025931629,2022-01-31,CA,51,31,1,2022
1025931630,2022-01-31,IN,841,31,1,2022
1025931631,2022-01-31,UK,90,31,1,2022
1025931632,2022-01-31,CA,40,31,1,2022
1025931633,2022-01-31,CA,51,31,1,2022
1025931634,2022-01-31,US,141,31,1,2022
1025931635,2022-01-31,,100,31,1,2022
1025931636,2022-01-31,CH,42,31,1,2022
1025931637,2022-01-31,FR,62,31,1,2022
1025931638,2022-01-31,UK,51,31,1,2022
1025931639,2022-01-31,NL,51,31,1,2022
1025931640,2022-01-31,US,112,31,1,2022
1025931641,2022-01-31,RS,141,31,1,2022
1025931642,2022-01-31,US,173,31,1,2022
1025931643,2022-01-31,US,173,31,1,2022
1025931644,2022-01-31,US,180,31,1,2022
1025931645,2022-01-31,US,10,31,1,2022
1025931646,2022-01-31,US,36,31,1,2022
1025931647,2022-01-31,US,51,31,1,2022
1025931648,2022-01-31,US,112,31,1,2022
1025931649,2022-01-31,US,173,31,1,2022
1025931650,2022-01-31,DA,190,31,1,2022
1025931651,2022-01-31,CH,20,31,1,2022
1025931652,2022-01-31,IN,20,31,1,2022
1025931653,2022-01-31,US,20,31,1,2022
1025931654,2022-01-31,US,30,31,1,2022
1025931655,2022-01-31,US,30,31,1,2022
1025931656,2022-01-31,US,36,31,1,2022
1025931657,2022-01-31,US,42,31,1,2022
1025931658,2022-01-31,US,42,31,1,2022
1025931659,2022-01-31,US,42,31,1,2022
1025931660,2022-01-31,US,43,31,1,2022
1025931661,2022-01-31,US,43,31,1,2022
1025931662,2022-01-31,RP,43,31,1,2022
1025931663,2022-01-31,SA,43,31,1,2022
1025931664,2022-01-31,US,111,31,1,2022
1025931665,2022-01-31,UP,111,31,1,2022
1025931666,2022-01-31,IN,141,31,1,2022
1025931667,2022-01-31,UK,1823,31,1,2022
1025931668,2022-01-31,UK,42,31,1,2022
1025931669,2022-01-31,FR,46,31,1,2022
1025931670,2022-01-31,NO,46,31,1,2022
1025931671,2022-01-31,FI,51,31,1,2022
1025931672,2022-01-31,FI,57,31,1,2022
1025931673,2022-01-31,FR,62,31,1,2022
1025931674,2022-01-31,UK,10,31,1,2022
1025931675,2022-01-31,UK,42,31,1,2022
1025931676,2022-01-31,UK,173,31,1,2022
1025931677,2022-01-31,UK,1823,31,1,2022
1025931678,2022-01-31,IN,13,31,1,2022
1025931679,2022-01-31,CH,15,31,1,2022
1025931680,2022-01-31,IN,40,31,1,2022
1025931681,2022-01-31,RS,43,31,1,2022
1025931682,2022-01-31,IN,46,31,1,2022
1025931683,2022-01-31,CH,100,31,1,2022
1025931684,2022-01-31,CH,120,31,1,2022
1025931685,2022-01-31,SF,190,31,1,2022
1025931686,2022-01-31,EG,190,31,1,2022
1025931687,2022-01-31,IN,30,31,1,2022
1025931688,2022-01-31,UP,40,31,1,2022
1025931689,2022-01-31,SZ,42,31,1,2022
1025931690,2022-01-31,US,43,31,1,2022
1025931691,2022-01-31,US,110,31,1,2022
1025931692,2022-01-31,HA,36,31,1,2022
1025931693,2022-01-31,MY,42,31,1,2022
1025931694,2022-01-31,,51,31,1,2022
1025931695,2022-01-31,IN,61,31,1,2022
1025931696,2022-01-31,IN,841,31,1,2022
1025931697,2022-01-31,IS,30,31,1,2022
1025931698,2022-01-31,AS,20,31,1,2022
1025931699,2022-01-31,US,40,31,1,2022
1025931700,2022-01-31,US,40,31,1,2022
1025931701,2022-01-31,US,42,31,1,2022
1025931702,2022-01-31,RS,140,31,1,2022
1025931703,2022-01-31,UK,40,31,1,2022
1025931704,2022-01-31,US,84,31,1,2022
